Alin sa mga ito ang pinakamahalagang hakbang para maiwasan ang pagkalat ng mikrobyo sa kusina?,Pagpunas ng mga countertop gamit ang tuyong tela.,Paghuhugas ng kamay gamit ang sabon at maligamgam na tubig nang hindi bababa sa 20 segundo.,Banlawan ang mga kamay gamit ang malamig na tubig.,Hugasin ang mga pinggan sa malamig na tubig.,Paghuhugas ng kamay gamit ang sabon at maligamgam na tubig nang hindi bababa sa 20 segundo.
Ano ang pinakamahusay na paraan para linisin ang sariwang prutas at gulay?,Punasan ng tuyong tela.,Lunurin sa mangkok ng may sabon na tubig.,"Banlawan sila sa malamig na umaagos na tubig, pagkatapos kainin.","Hindi na kailangang hugasan ang prutas at gulay; puwede na silang kainin nang hindi nililinis!","Banlawan sila sa malamig na umaagos na tubig, pagkatapos kainin."
"Kung ang pagkain ay may masamang amoy o mukhang bulok, ano ang dapat mong gawin dito?",Lutuin nang matagal upang patayin ang lahat ng mikrobyo na maaaring naroroon.,Putulin ang bulok na bahagi at ang natira ay ligtas kainin!,Ibigay ito sa aso.,Itapon kaagad.,Itapon kaagad.
Paano mo dapat itago ang hilaw na karne sa loob ng refrigerator?,Sa itaas na istante, ibabaw ng lahat ng ibang pagkain.,Sa selyadong lalagyan sa ilalim na istante.,Saan mang may libreng puwang sa iyong fridge.,Sa bukas na mangkok katabi ng iyong mga gulay.,Sa selyadong lalagyan sa ilalim na istante.
Paano mo ligtas na i-defrost ang karne?,Ilagay ang karne sa selyadong bag at ilubog sa malamig na tubig na yelo at maghintay na matunaw ang yelo.,Iwan ang karne sa labas.,Gamitin ang kumukulong tubig para mabilis na i-defrost.,Iwan ito sa kitchen counter sa room temperature hanggang matunaw ang yelo.,Ilagay ang karne sa selyadong bag at ilubog sa malamig na tubig na yelo at maghintay na matunaw ang yelo.
Bakit mahalagang ilagay sa refrigerator ang natirang pagkain sa loob ng dalawang oras matapos buksan?,Para mapanatili ang lasa ng pagkain.,Dahil mas masarap ang pagkain kapag malamig.,Para makatipid ng espasyo sa kusina.,Para pabagalin ang pagdami ng mapanganib na bakterya.,Para pabagalin ang pagdami ng mapanganib na bakterya.
Ano ang karaniwang sakit na nakukuha sa pagkain na sanhi ng bakterya na madalas matagpuan sa hilaw na manok at itlog?,E. coli.,Salmonella.,Listeria.,Trangkaso.,Salmonella.
Gaano katagal ligtas na iwanan ang pagkain sa room temperature bago ito dapat ilagay sa refrigerator o itapon?,1 oras.,2 oras.,3 oras.,4 oras.,2 oras.
Ano ang pinakamababang internal na temperatura para lutuin ang buong manok upang masiguro na ligtas itong kainin?,60°C (140°F).,74°C (165°F).,82°C (180°F).,100°C (212°F).,74°C (165°F).
Bakit mahalagang hugasan ang prutas at gulay bago balatan ang balat?,Upang maiwasan ang paglilipat ng bakterya mula sa ibabaw papunta sa loob ng pagkain sa pamamagitan ng kutsilyo.,Mas mataas ang tsansa na magdulot ng impeksyon sa bakterya ang hindi hinugasang produkto.,Upang alisin ang mga pestisidyo at wax sa balat ng pagkain.,Dahil hindi ligtas hawakan ang balat ng produkto.,Upang maiwasan ang paglilipat ng bakterya mula sa ibabaw papunta sa loob ng pagkain sa pamamagitan ng kutsilyo.
Alin sa mga ito ang pinaka-epektibo para maiwasan ang cross-contamination sa pagitan ng hilaw na karne at sariwang gulay?,Paggamit ng kutsilyong pinunasan ng paper towel.,Hugasin ang mga gulay pagkatapos hiwain ang hilaw na karne.,Paggamit ng magkakahiwalay na chopping board para sa bawat uri ng pagkain.,"Una hiwain ang gulay, saka ang karne sa parehong chopping board.",Paggamit ng magkakahiwalay na chopping board para sa bawat uri ng pagkain.
Ano ang saklaw ng temperatura na tinatawag na "Danger Zone" kung saan mabilis dumami ang bakterya sa mga produkto ng pagkain?,Sa pagitan ng 40°C at 140°C.,Sa pagitan ng 5°C at 100°C.,Sa pagitan ng 90°C at 250°C.,Walang temperature range kung saan tumutubo ang bakterya sa mga pagkain.,Sa pagitan ng 40°C at 140°C.
Ano ang pangunahing layunin ng "best before" na petsa sa isang produktong pagkain?,Ipinapakita ang petsa kung kailan ginawa ang produkto.,Ito ay isang rekomendasyong pangkaligtasan pagkatapos noon na hindi na ligtas kainin.,"Ito ay isang mungkahi para sa pinakamainam na kalidad, hindi isang petsa ng kaligtasan.",Ito ay isang legal na kinakailangan para sa lahat ng produkto ng pagkain.,"Ito ay isang mungkahi para sa pinakamainam na kalidad, hindi isang petsa ng kaligtasan."
Ano ang pagkakaiba ng paglilinis at pagsasanitisa?,"Ang paglilinis ay gumagamit ng sabon, at ang pagsasanitisa ay gumagamit ng mainit na tubig.","Ang paglilinis ay nag-aalis ng dumi at pagkain, habang ang pagsasanitisa ay nagpapababa ng bakterya sa ligtas na antas.","Walang pagkakaiba; parehong ibig sabihin ang mga termino.","Ang paglilinis ay para sa sahig, at ang pagsasanitisa ay para sa mga countertop.","Ang paglilinis ay nag-aalis ng dumi at pagkain, habang ang pagsasanitisa ay nagpapababa ng bakterya sa ligtas na antas."
Ano ang pinakamaligtas na paraan para tikman ang pagkain habang nagluluto?,Dilaan ang kutsara.,Gumamit ng malinis na kutsara sa bawat pagkakataon na nais mong tikman.,Isawsaw muli ang kutsara sa palayok pagkatapos tikman.,Gamitin ang iyong daliri para tikman.,Gumamit ng malinis na kutsara sa bawat pagkakataon na nais mong tikman.
Ano ang dapat mong gawin kung may hiwa o sugat sa iyong kamay habang naghahanda ng pagkain?,Takpan ito ng benda at magsuot ng disposable glove.,Iwasan ang paghahanda ng pagkain hanggang gumaling ito.,Hugasan nang mabuti ang iyong mga kamay at magpatuloy sa paghahanda ng pagkain.,Takpan ito ng benda lamang.,Takpan ito ng benda at magsuot ng disposable glove.
Gaano kadalas dapat linisin ang mga sponge o dishcloth sa kusina?,Minsan sa isang linggo.,Pagkatapos ng bawat paggamit.,Minsan sa isang buwan.,Araw-araw.,Pagkatapos ng bawat paggamit.
Ano ang tamang paraan ng paghuhugas ng kamay upang masiguro na malinis?,Banlawan lamang ng tubig.,Hugasan ng sabon at tubig nang hindi bababa sa 20 segundo.,Gumamit lamang ng hand sanitizer.,Punasan gamit ang tuyong tuwalya.,Hugasan ng sabon at tubig nang hindi bababa sa 20 segundo.
Bakit mahalagang gumamit ng food thermometer kapag nagluluto ng karne?,Upang masiguro na ang karne ay naluto sa ligtas na internal na temperatura.,Upang suriin kung malambot ang karne.,Upang sukatin ang oras ng pagluluto.,Upang malaman kung malasa ang karne.,Upang masiguro na ang karne ay naluto sa ligtas na internal na temperatura.
Ano ang "cross-contamination"?,Kapag nagluluto ka ng iba't ibang pagkain sa parehong palayok.,"Kapag ang nakapipinsalang bakterya mula sa isang pagkain, lalo na ang hilaw na karne, ay naililipat sa ibang pagkain.",Kapag pinaghalo ang iba't ibang karne sa iisang ulam.,Kapag naghuhugas ka ng iba't ibang gulay nang sabay-sabay.,"Kapag ang nakapipinsalang bakterya mula sa isang pagkain, lalo na ang hilaw na karne, ay naililipat sa ibang pagkain."